"pitch_id","type"
1,"Fastball"
2,"Fastball"
3,"Fastball"
4,"Changeup"
5,"Changeup"
6,"Fastball"
7,"Fastball"
8,"Curveball"
9,"Fastball"
10,"Fastball"
11,"Curveball"
12,"Fastball"
13,"Fastball"
14,"Fastball"
15,"Fastball"
16,"Changeup"
17,"Fastball"
18,"Fastball"
19,"Fastball"
20,"Fastball"
21,"Curveball"
22,"Fastball"
23,"Fastball"
24,"Fastball"
25,"Fastball"
26,"Fastball"
27,"Changeup"
28,"Fastball"
29,"Fastball"
30,"Fastball"
31,"Fastball"
32,"Fastball"
33,"Fastball"
34,"Fastball"
35,"Fastball"
36,"Fastball"
37,"Fastball"
38,"Fastball"
39,"Fastball"
40,"Changeup"
41,"Fastball"
42,"Fastball"
43,"Changeup"
44,"Changeup"
45,"Fastball"
46,"Changeup"
47,"Fastball"
48,"Fastball"
49,"Fastball"
50,"Changeup"
51,"Changeup"
52,"Fastball"
53,"Fastball"
54,"Fastball"
55,"Changeup"
56,"Fastball"
57,"Fastball"
58,"Changeup"
59,"Fastball"
60,"Changeup"
61,"Fastball"
62,"Changeup"
63,"Changeup"
64,"Fastball"
65,"Fastball"
66,"Changeup"
67,"Fastball"
68,"Fastball"
69,"Fastball"
70,"Fastball"
71,"Changeup"
72,"Fastball"
73,"Changeup"
74,"Fastball"
75,"Curveball"
76,"Fastball"
77,"Fastball"
78,"Fastball"
79,"Fastball"
80,"Fastball"
81,"Fastball"
82,"Fastball"
83,"Fastball"
84,"Fastball"
85,"Fastball"
86,"Fastball"
87,"Fastball"
88,"Fastball"
89,"Fastball"
90,"Curveball"
91,"Curveball"
92,"Curveball"
93,"Fastball"
94,"Fastball"
95,"Changeup"
96,"Changeup"
97,"Changeup"
98,"Fastball"
99,"Fastball"
100,"Fastball"
101,"Fastball"
102,"Fastball"
103,"Fastball"
104,"Curveball"
105,"Curveball"
106,"Fastball"
107,"Fastball"
108,"Fastball"
109,"Fastball"
110,"Fastball"
111,"Changeup"
112,"Fastball"
113,"Fastball"
114,"Changeup"
115,"Fastball"
116,"Changeup"
117,"Fastball"
118,"Fastball"
119,"Fastball"
120,"Fastball"
121,"Fastball"
122,"Fastball"
123,"Fastball"
124,"Fastball"
125,"Changeup"
126,"Changeup"
127,"Fastball"
128,"Changeup"
129,"Fastball"
130,"Fastball"
131,"Changeup"
132,"Fastball"
133,"Changeup"
134,"Changeup"
135,"Fastball"
136,"Fastball"
137,"Fastball"
138,"Curveball"
139,"Fastball"
140,"Curveball"
141,"Fastball"
142,"Fastball"
143,"Fastball"
144,"Fastball"
145,"Fastball"
146,"Changeup"
147,"Changeup"
148,"Fastball"
149,"Fastball"
150,"Changeup"
151,"Fastball"
152,"Fastball"
153,"Curveball"
154,"Fastball"
155,"Changeup"
156,"Fastball"
157,"Curveball"
158,"Fastball"
159,"Fastball"
160,"Fastball"
161,"Changeup"
162,"Fastball"
163,"Fastball"
164,"Fastball"
165,"Fastball"
166,"Fastball"
167,"Fastball"
168,"Fastball"
169,"Changeup"
170,"Fastball"
171,"Fastball"
172,"Fastball"
173,"Curveball"
174,"Fastball"
175,"Fastball"
176,"Fastball"
177,"Fastball"
178,"Fastball"
179,"Fastball"
180,"Fastball"
181,"Curveball"
182,"Fastball"
183,"Fastball"
184,"Curveball"
185,"Changeup"
186,"Changeup"
187,"Curveball"
188,"Changeup"
189,"Changeup"
190,"Curveball"
191,"Fastball"
192,"Changeup"
193,"Curveball"
194,"Fastball"
195,"Curveball"
196,"Curveball"
197,"Fastball"
198,"Curveball"
199,"Fastball"
200,"Fastball"
201,"Fastball"
202,"Fastball"
203,"Curveball"
204,"Fastball"
205,"Curveball"
206,"Fastball"
207,"Changeup"
208,"Changeup"
209,"Fastball"
210,"Fastball"
211,"Changeup"
212,"Changeup"
213,"Fastball"
214,"Changeup"
215,"Fastball"
216,"Curveball"
217,"Changeup"
218,"Curveball"
219,"Fastball"
220,"Curveball"
221,"Changeup"
222,"Changeup"
223,"Fastball"
224,"Changeup"
225,"Fastball"
226,"Curveball"
227,"Curveball"
228,"Changeup"
229,"Curveball"
230,"Fastball"
231,"Fastball"
232,"Curveball"
233,"Fastball"
234,"Changeup"
235,"Fastball"
236,"Fastball"
237,"Changeup"
238,"Fastball"
239,"Changeup"
240,"Fastball"
241,"Fastball"
242,"Changeup"
243,"Fastball"
244,"Curveball"
245,"Fastball"
246,"Fastball"
247,"Fastball"
248,"Changeup"
249,"Fastball"
250,"Curveball"
251,"Changeup"
252,"Fastball"
253,"Fastball"
254,"Fastball"
255,"Fastball"
256,"Fastball"
257,"Fastball"
258,"Changeup"
259,"Fastball"
260,"Fastball"
261,"Curveball"
262,"Curveball"
263,"Fastball"
264,"Fastball"
265,"Changeup"
266,"Fastball"
267,"Changeup"
268,"Fastball"
269,"Changeup"
270,"Fastball"
271,"Curveball"
272,"Curveball"
273,"Curveball"
274,"Curveball"
275,"Fastball"
276,"Curveball"
277,"Fastball"
278,"Fastball"
279,"Curveball"
280,"Curveball"
281,"Fastball"
282,"Fastball"
283,"Changeup"
284,"Fastball"
285,"Fastball"
286,"Changeup"
287,"Fastball"
288,"Changeup"
289,"Fastball"
290,"Changeup"
291,"Fastball"
292,"Fastball"
293,"Changeup"
294,"Curveball"
295,"Fastball"
296,"Changeup"
297,"Changeup"
298,"Fastball"
299,"Changeup"
300,"Fastball"
301,"Fastball"
302,"Changeup"
303,"Changeup"
304,"Fastball"
305,"Changeup"
306,"Curveball"
307,"Changeup"
308,"Fastball"
309,"Changeup"
310,"Fastball"
311,"Fastball"
312,"Curveball"
313,"Changeup"
314,"Changeup"
315,"Fastball"
316,"Changeup"
317,"Changeup"
318,"Fastball"
319,"Fastball"
320,"Fastball"
321,"Fastball"
322,"Fastball"
323,"Fastball"
324,"Fastball"
325,"Changeup"
326,"Changeup"
327,"Fastball"
328,"Fastball"
329,"Curveball"
330,"Fastball"
331,"Fastball"
332,"Curveball"
333,"Changeup"
334,"Fastball"
335,"Fastball"
336,"Fastball"
337,"Changeup"
338,"Changeup"
339,"Fastball"
340,"Fastball"
341,"Fastball"
342,"Fastball"
343,"Fastball"
344,"Fastball"
345,"Fastball"
346,"Fastball"
347,"Changeup"
348,"Changeup"
349,"Fastball"
350,"Changeup"
351,"Fastball"
352,"Curveball"
353,"Curveball"
354,"Fastball"
355,"Changeup"
356,"Fastball"
357,"Changeup"
358,"Fastball"
359,"Changeup"
360,"Fastball"
361,"Changeup"
362,"Fastball"
363,"Fastball"
364,"Changeup"
365,"Fastball"
366,"Fastball"
367,"Changeup"
368,"Fastball"
369,"Curveball"
370,"Fastball"
371,"Changeup"
372,"Fastball"
373,"Fastball"
374,"Curveball"
375,"Fastball"
376,"Changeup"
377,"Fastball"
378,"Fastball"
379,"Fastball"
380,"Changeup"
381,"Fastball"
382,"Fastball"
383,"Changeup"
384,"Curveball"
385,"Changeup"
386,"Fastball"
387,"Fastball"
388,"Fastball"
389,"Changeup"
390,"Changeup"
391,"Fastball"
392,"Changeup"
393,"Fastball"
394,"Fastball"
395,"Changeup"
396,"Fastball"
397,"Changeup"
398,"Fastball"
399,"Changeup"
400,"Fastball"
401,"Curveball"
402,"Fastball"
403,"Fastball"
404,"Changeup"
405,"Changeup"
406,"Fastball"
407,"Changeup"
408,"Changeup"
409,"Fastball"
410,"Fastball"
411,"Fastball"
412,"Fastball"
413,"Changeup"
414,"Changeup"
415,"Fastball"
416,"Changeup"
417,"Fastball"
418,"Fastball"
419,"Changeup"
420,"Fastball"
421,"Changeup"
422,"Fastball"
423,"Fastball"
424,"Fastball"
425,"Curveball"
426,"Changeup"
427,"Curveball"
