pitch_id,game_date,pitch_no,pa_of_inning,pitcher_throws,batter_side,balls,strikes,pitch_call,k_or_bb,hit_type,play_result,rel_speed,spin_rate,rel_height,rel_side,extension,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,exit_speed,angle,direction,distance
1,4/7/2018,14,1,Right,Left,0,0,StrikeCalled,Undefined,Undefined,Undefined,91.54553783,2113.147081,6.506188979,2.540268071,5.833776595,20.12505548,8.928066061,2.735287115,1.094979231,NULL,NULL,NULL,NULL
2,4/7/2018,15,1,Right,Left,0,1,BallCalled,Undefined,Undefined,Undefined,90.91884443,2260.929912,6.389824981,2.387287781,6.087574777,20.9302395,6.553838671,0.882481345,-0.799187505,NULL,NULL,NULL,NULL
3,4/7/2018,16,1,Right,Left,1,1,FoulBall,Undefined,Undefined,Undefined,90.12684842,2332.888549,6.53792685,2.525291631,6.094856812,15.20888751,9.077405126,2.432627201,-0.233428582,NULL,NULL,NULL,NULL
4,4/7/2018,17,1,Right,Left,1,2,BallCalled,Undefined,Undefined,Undefined,86.96874998,1492.328505,6.409249112,2.631641906,6.052892144,11.53883776,13.55867024,3.448318036,3.501005734,NULL,NULL,NULL,NULL
5,4/7/2018,18,1,Right,Left,2,2,BallCalled,Undefined,Undefined,Undefined,84.7526695,1486.646404,6.409944359,2.520878819,5.741219003,7.921137799,7.255540763,1.540500999,-0.999087944,NULL,NULL,NULL,NULL
6,4/7/2018,19,1,Right,Left,3,2,BallCalled,Walk,Undefined,Undefined,91.12990818,2425.88701,6.390769803,2.558480666,6.201720155,18.33851227,7.207311234,0.976587424,0.946306038,NULL,NULL,NULL,NULL
7,4/7/2018,20,2,Right,Right,0,0,FoulBall,Undefined,Undefined,Undefined,92.07234751,2367.998243,6.570181652,2.177022478,6.094032367,20.32235148,6.703649033,2.403505401,-0.025428678,72.33928206,23.4790067,158.6598767,169.3023307
8,4/7/2018,21,2,Right,Right,0,1,BallCalled,Undefined,Undefined,Undefined,78.42830287,2566.753298,6.531955711,2.16762824,5.338102503,-10.58641228,-9.741944496,0.741082841,0.3680461,NULL,NULL,NULL,NULL
9,4/7/2018,22,2,Right,Right,1,1,InPlay,Undefined,GroundBall,Out,92.34061944,2319.128009,6.500532478,2.14627745,6.085487749,18.55431663,11.67003962,1.66885738,-0.433228506,75.2591,-21.9588,13.1092,7.59838
10,4/7/2018,23,3,Right,Right,0,0,FoulBall,Undefined,Undefined,Undefined,92.32610616,2371.784636,6.571328552,2.337617822,6.199112939,23.24053227,3.58802811,2.964723543,0.398158525,73.19214619,30.89032677,164.2543299,195.8275828
11,4/7/2018,24,3,Right,Right,0,1,BallCalled,Undefined,Undefined,Undefined,80.05979002,2634.623095,6.593358978,2.157392825,5.465483046,-9.271754875,-9.369229511,-0.122773438,-0.146409332,NULL,NULL,NULL,NULL
12,4/7/2018,25,3,Right,Right,1,1,FoulBall,Undefined,Undefined,Undefined,92.07543045,2330.867712,6.540575059,2.226991644,6.204334259,17.98200539,11.10709819,1.925477199,0.889784088,NULL,NULL,NULL,NULL
13,4/7/2018,26,3,Right,Right,1,2,InPlay,Undefined,FlyBall,Out,93.03492958,2363.402346,6.506282034,2.11187245,6.145217546,22.18500996,10.16578831,2.062887536,0.650766602,93.58277694,55.7975747,-7.119952348,235.7024646
14,4/7/2018,27,4,Right,Left,0,0,StrikeCalled,Undefined,Undefined,Undefined,90.90886329,2357.306424,6.523923824,2.477932175,6.213203136,16.49485167,13.3607978,2.681890849,0.165347105,NULL,NULL,NULL,NULL
15,4/7/2018,28,4,Right,Left,0,1,BallCalled,Undefined,Undefined,Undefined,92.45543734,2430.112507,6.49960341,2.449923976,6.124450785,13.83758666,13.30583002,0.072485568,0.769839521,NULL,NULL,NULL,NULL
16,4/7/2018,29,4,Right,Left,1,1,StrikeSwinging,Undefined,Undefined,Undefined,86.23577026,1478.952136,6.49225932,2.594507333,5.939618104,9.250422673,11.94046534,2.560291402,0.413927875,NULL,NULL,NULL,NULL
17,4/7/2018,30,4,Right,Left,1,2,FoulBall,Undefined,Undefined,Undefined,92.94924563,2323.143652,6.432382249,2.260211523,6.158561884,19.51926045,6.848815117,1.966575323,0.296015087,NULL,NULL,NULL,NULL
18,4/7/2018,31,4,Right,Left,1,2,StrikeCalled,Strikeout,Undefined,Undefined,92.44862857,2342.587745,6.492622744,2.281538521,6.323850779,18.89100619,9.011743944,1.759662855,0.155522005,NULL,NULL,NULL,NULL
19,4/7/2018,49,1,Right,Right,0,0,FoulBall,Undefined,Undefined,Undefined,91.06174722,2236.295256,6.368262724,2.412185335,6.326077863,17.53827131,9.5529188,3.045987042,-0.192539398,100.4240848,1.114105111,-49.55651589,61.91242606
20,4/7/2018,50,1,Right,Right,0,1,StrikeSwinging,Undefined,Undefined,Undefined,91.66554212,2398.864279,6.484141267,2.215708765,6.111588417,21.82435815,4.152224578,2.944518332,-0.41206974,NULL,NULL,NULL,NULL
