pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
453286,R,SL,Slider,85.3,2213,0.1879,0.0932,-3.6817,4.8871,5.904,-0.0943,1.4981,8.0021,-124.0765,-1.9076,0.5072,22.0096,-31.091
453286,R,FF,4-Seam Fastball,93.1,2568,-0.7428,1.1709,-3.7813,4.8487,6.48,-0.0185,2.2353,11.3063,-135.1627,-3.5155,-11.53,28.1884,-17.1813
453286,R,FF,4-Seam Fastball,93.4,2421,-0.7818,1.1671,-3.6469,4.7835,6.503,1.185,2.439,14.1621,-135.3068,-2.8429,-12.603,27.7924,-17.3131
453286,R,SL,Slider,84,2267,-0.0212,0.2403,-3.7483,4.9935,6.137,0.036,2.6276,8.7656,-122.0618,0.3976,-1.7594,21.5489,-30.045
453286,R,FF,4-Seam Fastball,92.8,2496,-0.8684,1.0067,-3.7169,4.6742,5.946,0.1655,2.7516,11.6873,-134.645,-1.2983,-12.801,26.768,-19.9855
453286,R,FF,4-Seam Fastball,94.1,2475,-0.7621,1.1285,-3.7596,4.7851,5.771,-0.9347,3.6165,8.8739,-136.6782,0.2066,-11.2247,27.9696,-18.5109
453286,R,CH,Changeup,82.5,1719,-1.0835,0.2186,-3.5914,4.9362,6.455,-0.2831,3.1066,9.6521,-119.9133,1.8623,-12.2086,20.0589,-30.5297
453286,R,FF,4-Seam Fastball,93.6,2576,-0.9587,1.0556,-3.7,4.8066,6.439,-0.6772,3.7837,9.9393,-136.1376,0.71,-13.9769,26.1918,-19.2106
453286,R,CH,Changeup,83.6,1819,-1.2095,0.1584,-3.6814,4.8536,6.322,-2.3934,2.5728,5.3508,-121.6861,0.8327,-13.0451,22.9764,-30.963
453286,R,FC,Cutter,88,2538,0.0079,0.4442,-3.7926,4.8431,6.012,0.6139,2.3676,10.6021,-127.8851,-0.8799,-1.7555,22.2246,-27.3452
453286,R,FC,Cutter,88.4,2511,0.1184,0.7328,-3.774,4.755,5.645,0.5488,2.3426,10.1489,-128.3809,-1.2999,-0.6383,24.3304,-24.2021
453286,R,FF,4-Seam Fastball,93.6,2568,-1.0473,1.0271,-3.6702,4.8809,6.15,-0.6689,1.9055,9.9868,-135.9391,-4.1746,-15.0097,28.0878,-18.8271
453286,R,CU,Curveball,78.4,2410,0.5423,-0.6678,-3.4934,5.3041,5.646,-0.2229,1.9654,6.0151,-113.9802,0.7573,3.664,18.6556,-38.2465
453286,R,CU,Curveball,78,2471,0.6508,-0.5917,-3.579,5.2003,5.569,-2.0773,3.3393,2.0397,-113.3856,3.8127,5.1769,18.3976,-38.0259
453286,R,FF,4-Seam Fastball,92.5,2557,-0.7286,1.1884,-3.7181,4.8271,6.037,0.9718,2.4993,13.4021,-134.0308,-2.6723,-11.335,25.8045,-17.586
453286,R,CH,Changeup,82.6,1693,-1.2978,-0.0255,-3.5511,5.028,5.89,-1.1046,2.0536,7.9808,-120.0914,-0.2637,-13.8477,21.3036,-32.59
453286,R,FC,Cutter,87.2,2454,0.2517,0.5593,-3.7882,4.8062,5.897,0.5266,1.5766,9.7781,-126.7285,-2.7788,0.99,22.1333,-25.8983
453286,R,CH,Changeup,84.1,1761,-1.2932,0.1317,-3.7391,4.9621,6.287,-2.8518,4.0587,4.6107,-122.454,3.9532,-13.8954,21.2081,-31.7166
572971,L,FT,2-Seam Fastball,89.3,2081,1.0026,0.5282,0.7044,6.2189,6.214,-0.4745,1.8875,-4.9893,-129.9542,-5.8078,12.325,24.1434,-25.2865
453286,R,CH,Changeup,83.5,1475,-1.2201,0.0334,-3.5911,5.0162,6.032,-1.3934,0.6178,7.3785,-121.3038,-3.7503,-13.318,22.2417,-31.3757
453286,R,FC,Cutter,87.3,2395,0.2303,0.5342,-3.8535,4.7651,6.096,0.5547,0.462,10.0851,-126.8235,-5.3027,0.636,23.2118,-25.6506
572971,L,SL,Slider,79,2169,-0.7063,-0.131,0.7984,6.1083,5.509,0.0622,0.8193,-0.3233,-114.8721,-4.3589,-5.9721,22.9988,-32.6997
453286,R,FF,4-Seam Fastball,90.9,2369,-1.0551,0.9705,-3.7002,4.8895,5.927,0.471,2.4518,12.5392,-131.8231,-2.2732,-14.485,23.2976,-20.6838
572971,L,FT,2-Seam Fastball,89.2,2177,0.9684,0.5898,0.8528,6.2063,6.2,-0.2911,2.0438,-4.8265,-129.7876,-5.4403,11.8915,26.8538,-24.6342
453286,R,CU,Curveball,77.6,2591,0.479,-0.4229,-3.505,5.4498,5.613,-0.3124,2.2882,5.9037,-112.9274,0.7961,3.1115,17.6663,-36.0786
572971,L,FC,Cutter,86.8,2155,0.5054,1.1999,0.7297,6.2855,5.972,0.0991,3.2025,-2.5112,-126.2086,-3.5318,5.8493,27.6596,-19.0727
572971,L,FT,2-Seam Fastball,89,1985,1.1323,0.6939,0.8358,6.2115,6.043,1.2151,2.2622,-1.4091,-129.573,-5.0939,12.9287,26.2761,-23.6173
572971,L,FC,Cutter,85.6,2121,0.3622,1.0825,0.7536,6.2617,6.225,0.3533,3.548,-1.6711,-124.6408,-2.2582,4.0979,27.171,-20.7625
572971,L,FT,2-Seam Fastball,88.4,2120,1.1335,0.7177,1.133,6.2007,6.172,0.6742,2.025,-3.4518,-128.6674,-5.6276,13.2444,24.1758,-23.3445
572971,L,CH,Changeup,78.3,1750,1.266,0.5723,0.8344,6.2395,6.164,-0.0611,1.0827,-4.2369,-113.7919,-5.2589,11.6999,21.6053,-26.4823
572971,L,CH,Changeup,79.1,1556,1.2476,0.6536,0.847,6.2249,6.129,0.6,2.1892,-2.835,-115.0784,-3.1919,11.5168,21.7572,-26.0482
572971,L,FT,2-Seam Fastball,88.3,2138,1.4555,0.8008,1.1414,6.141,6.089,1.5017,2.0732,-2.1143,-128.4542,-5.4127,16.3613,27.9967,-22.4866
572971,L,FT,2-Seam Fastball,89.2,2108,1.3037,0.4243,1.2531,5.998,6.076,0.7333,2.1313,-3.9727,-129.7845,-4.3425,15.4167,27.504,-26.7417
572971,L,SL,Slider,81,2312,-0.1955,0.4413,0.7257,6.1062,6.095,-1.1873,0.1267,-3.876,-117.5786,-7.3025,-0.8291,28.2521,-26.7339
572971,L,SL,Slider,80.8,2385,-0.1069,0.4216,0.7303,6.1842,5.523,-0.2414,0.2746,-1.9319,-117.2064,-6.9863,-0.4938,27.1657,-27.1573
572971,L,SL,Slider,80.4,2219,-0.6846,0.0616,0.7819,6.1388,6.1,-0.9192,1.926,-2.4764,-117.0183,-2.7463,-5.7375,22.7461,-31.3154
572971,L,FC,Cutter,86,2208,0.2477,1.0989,0.6707,6.2714,5.98,-0.4028,2.6587,-3.0203,-125.0786,-4.4665,3.1861,25.863,-20.1274
572971,L,FC,Cutter,85.4,2152,-0.1081,0.5951,0.6706,6.2481,6.395,-0.8688,2.5909,-3.4141,-124.3402,-3.4808,-0.3709,27.0936,-25.507
572971,L,FT,2-Seam Fastball,86.6,2062,1.0407,0.833,1.1283,6.2461,6.19,-0.0462,2.1015,-4.9009,-125.9114,-5.3407,12.0039,26.1945,-22.4995
572971,L,FC,Cutter,85.1,2168,-0.0662,0.6977,0.9088,6.2387,6.187,-0.6236,0.8209,-3.4517,-123.6886,-7.7698,-0.015,23.7293,-23.7598
572971,L,FT,2-Seam Fastball,86.4,1945,1.0605,0.7959,0.9949,6.2229,6.205,1.7151,2.2624,-0.4292,-125.9094,-4.8793,11.3531,23.95,-22.9949
572971,L,FC,Cutter,86.6,2068,-0.0384,1.1681,0.8924,6.4217,6.063,0.7044,4.5194,-0.37,-126.0894,-0.7107,-0.3315,25.2297,-19.9111
453286,R,FF,4-Seam Fastball,93,2521,-0.6941,1.2032,-3.6645,4.834,6.351,0.6225,3.1054,12.4905,-135.0005,-1.3362,-10.8961,25.0528,-17.2384
453286,R,FC,Cutter,87.7,2316,0.056,0.766,-3.8387,4.7786,5.884,1.077,1.7084,11.6492,-127.288,-2.9091,-1.2913,20.7542,-23.5751
453286,R,CH,Changeup,83.3,1731,-1.3421,0.0938,-3.6758,4.9827,6.754,-0.5035,2.2759,10.0256,-120.9981,0.0247,-15.2452,21.6756,-31.4167
453286,R,FF,4-Seam Fastball,92.5,2344,-0.7227,1.3807,-3.6648,4.8151,6.106,1.4637,0.9918,14.4934,-133.7602,-6.7924,-11.6826,28.3476,-14.5075
453286,R,SL,Slider,84.3,2295,0.182,0.2083,-3.848,4.8615,5.969,-0.4073,2.668,7.5869,-122.5774,0.8208,0.4377,22.3479,-30.4567
453286,R,FF,4-Seam Fastball,92.8,2350,-0.8411,1.227,-3.8359,4.7205,6.064,-0.1745,2.329,11.1057,-134.6841,-2.9642,-12.445,27.5063,-16.938
453286,R,FF,4-Seam Fastball,91.7,2401,-0.8057,1.2618,-3.8528,4.8105,6.053,1.643,1.7371,15.4577,-132.7446,-4.5768,-12.3594,24.3456,-16.6151
453286,R,SL,Slider,83.3,2296,0.0563,0.2955,-3.6068,4.8217,5.887,-0.5242,2.8137,6.916,-121.2055,1.1814,-0.6362,20.798,-29.6953
453286,R,FF,4-Seam Fastball,93.2,2380,-0.7735,1.1529,-3.7073,4.7748,6.266,1.0511,1.6318,13.8463,-135.0317,-4.8378,-12.0967,24.9485,-17.2495
453286,R,FF,4-Seam Fastball,94.7,2567,-0.609,1.2742,-3.642,4.9417,5.886,-0.1185,3.9794,10.4337,-137.5789,0.3482,-9.8166,28.6726,-16.4807
453286,R,CH,Changeup,84.3,1913,-1.4571,-0.0119,-3.6982,4.9994,6.36,-1.0489,1.7599,9.0424,-122.4091,-1.1122,-16.4226,23.786,-32.2881
453286,R,SL,Slider,84.8,2380,0.1053,0.2659,-3.7104,5.0153,5.939,1.0675,1.5598,10.8561,-123.0308,-2.2309,-1.0231,23.5662,-29.3063
453286,R,FF,4-Seam Fastball,93.4,2540,-0.6318,1.4654,-3.6667,4.9779,5.823,1.1004,3.0189,13.4558,-135.3109,-2.3714,-10.5692,29.7051,-14.2333
453286,R,FC,Cutter,87.2,2383,0.1799,0.3673,-3.8858,4.7953,5.944,-0.7927,1.7554,7.0243,-126.8794,-1.9362,0.6333,23.4107,-28.09
453286,R,FF,4-Seam Fastball,92.9,2422,-0.8071,1.2321,-3.6817,4.8248,6.146,0.2681,2.7008,11.8014,-134.8103,-2.294,-12.3155,29.0019,-16.9789
453286,R,FF,4-Seam Fastball,93.7,2444,-0.7365,1.1013,-3.7689,4.9072,6.04,1.0972,2.9432,14.0388,-135.6956,-1.6951,-11.9674,28.4163,-18.5415
453286,R,FC,Cutter,86.5,2372,0.2441,0.4385,-3.8496,4.8535,5.94,0.0715,2.2215,8.7896,-125.707,-0.9453,0.8378,24.5991,-27.6228
453286,R,FF,4-Seam Fastball,92.9,2480,-1.0203,1.0289,-3.6376,4.842,6.306,-0.3776,3.3024,10.5548,-134.8682,-0.3849,-14.7109,29.0555,-19.7635
453286,R,FF,4-Seam Fastball,93.6,2545,-0.9115,1.1638,-3.7662,4.8748,6.109,-0.3304,3.0809,10.7944,-135.9111,-1.417,-13.5179,28.8808,-17.7612
572971,L,FC,Cutter,85.3,2237,-0.4369,0.5454,0.6032,6.2817,5.901,-0.7958,2.5194,-2.4072,-124.1104,-3.5595,-3.905,26.5927,-26.1473
453286,R,FF,4-Seam Fastball,91.4,2495,-0.8921,1.1277,-3.7894,4.7228,6.402,0.4777,2.7398,12.6578,-132.5576,-1.5306,-13.1601,27.1766,-18.7087
453286,R,SL,Slider,85.1,2278,0.2336,0.3102,-3.7252,5.0483,5.98,0.8904,1.6719,10.2836,-123.5792,-2.2431,0.5468,22.0379,-28.8225
572971,L,FC,Cutter,86.9,2157,0.027,0.6161,0.6549,6.306,5.942,-0.1462,1.882,-1.9601,-126.4334,-5.5802,0.7117,27.5784,-24.7296
453286,R,SL,Slider,84.3,2240,0.3003,0.3439,-3.7007,5.0536,5.65,0.3032,3.0006,8.6038,-122.4608,0.9152,1.3207,23.2819,-29.203
572971,L,FF,4-Seam Fastball,90.3,2253,0.099,1.3294,0.6691,6.2631,6.302,0.4641,1.2787,-0.7195,-131.1931,-9.2229,1.2962,29.0575,-15.0924
572971,L,FC,Cutter,86.6,2178,-0.2061,0.7607,0.7313,6.3084,6.114,-0.4703,2.5922,-2.4447,-126.0869,-4.2146,-1.6968,25.0849,-23.5005
453286,R,FF,4-Seam Fastball,93.3,2444,-0.9288,1.0951,-3.5958,4.7934,6.163,-1.4093,3.6003,7.6226,-135.6025,0.3174,-13.0577,30.0083,-19.0648
453286,R,FC,Cutter,87.8,2522,0.0987,0.394,-3.5975,4.8705,5.929,2.2883,1.4644,13.8872,-127.205,-2.9053,-1.4848,23.3502,-27.6051
572971,L,FF,4-Seam Fastball,87.3,2196,-0.2741,0.7843,0.7055,6.3295,5.889,-0.8746,3.2468,-3.223,-127.0071,-2.8341,-2.2659,25.7872,-23.4783
453286,R,FC,Cutter,87.8,2399,0.2591,0.3848,-3.8423,4.8269,5.878,-1.0669,3.4043,6.1416,-127.7305,1.8082,1.7016,23.1358,-28.5322
572971,L,FT,2-Seam Fastball,89.7,2021,1.0808,0.7171,0.9455,6.1698,6.063,0.7766,1.3835,-2.663,-130.5199,-7.3387,12.8023,26.2084,-22.7799
453286,R,CH,Changeup,84,1705,-1.3526,-0.1105,-3.5751,5.0155,6.236,-0.7879,1.9135,9.0951,-122.0676,-0.5724,-15.2279,23.213,-33.3807
572971,L,SL,Slider,81.4,2442,-0.5045,0.6334,0.9701,6.194,5.913,-0.352,0.0179,-1.9952,-118.2298,-8.2907,-4.2024,24.9136,-24.886
572971,L,FC,Cutter,87,2234,-0.0785,0.7457,0.689,6.3057,6.019,-0.4837,1.9228,-2.6365,-126.4571,-5.7745,-0.2708,26.8136,-23.3074
453286,R,FF,4-Seam Fastball,93.7,2596,-0.7738,1.4635,-3.7434,4.8783,5.815,-0.4584,4.2439,10.0437,-136.033,0.9327,-11.6103,29.4116,-14.7634
453286,R,FF,4-Seam Fastball,93.6,2538,-0.7957,1.4787,-3.6469,4.9993,5.978,0.3707,3.4732,11.9871,-135.7859,-1.3686,-12.3392,29.7388,-14.0555
572971,L,FT,2-Seam Fastball,89.3,2118,1.4214,0.4203,1.4501,5.8598,5.949,0.9845,0.6448,-4.0623,-129.7723,-7.5803,16.662,29.0177,-26.072
453286,R,CH,Changeup,82.5,1640,-1.3085,-0.095,-3.582,5.1203,6.322,-0.7361,2.8315,9.0031,-119.898,1.4619,-14.2872,21.5112,-33.557
572971,L,FT,2-Seam Fastball,89,1956,1.1621,0.5816,0.888,6.2347,5.986,0.7029,2.2888,-2.8385,-129.4325,-4.8138,13.4874,26.9368,-24.9503
572971,L,CH,Changeup,79.1,1508,1.3011,0.9025,0.7614,6.1352,6.812,1.1309,1.7889,-1.6817,-115.228,-4.4152,12.0497,22.7323,-23.3773
572971,L,SL,Slider,79.5,2169,-0.6884,0.7489,0.7326,6.1497,5.943,0.303,2.3083,0.328,-115.6176,-2.9388,-6.0992,24.1734,-25.2636
572971,L,FT,2-Seam Fastball,89.7,2005,1.194,0.8038,0.874,6.1886,6.042,1.8024,2.1863,-0.1942,-130.5675,-5.6111,13.6245,25.282,-22.1523
572971,L,SL,Slider,80.6,2379,-0.5565,-0.2859,0.683,6.0871,5.929,-0.9526,-0.1465,-2.5753,-117.2195,-6.6316,-4.6134,20.981,-33.818
572971,L,FT,2-Seam Fastball,89.1,2093,0.9793,0.9181,0.7894,6.2076,6.303,0.9712,2.1346,-1.6046,-129.7641,-5.957,11.4161,25.01,-20.8131
572971,L,FT,2-Seam Fastball,88.8,2050,0.8854,0.984,0.8157,6.2724,6.371,0.9378,2.4995,-1.5557,-129.3748,-5.339,10.321,23.7363,-20.2287
572971,L,FF,4-Seam Fastball,89.2,2222,0.2201,1.434,0.6591,6.312,6.161,0.1289,2.689,-1.7572,-129.6412,-5.7511,2.8623,31.6058,-15.1746
572971,L,FT,2-Seam Fastball,88.9,2101,1.0522,0.8545,0.8541,6.2229,6.341,0.4497,3.0288,-3.1994,-129.4774,-3.5892,12.4947,27.0523,-22.0354
