"velo","horz_break","vert_break","spin_rate"
96.5,-0.4274,1.4193,2233
98,-0.4037,1.4747,2346
87.7,-0.9222,1.0514,1568
89.2,-1.3025,0.573,1479
97.5,-0.3239,1.5167,2285
97.8,-0.7597,1.2842,2204
98.5,-0.473,1.3766,2301
97.9,-0.4191,1.4639,2264
88.3,-0.9178,0.8082,1698
87.9,1.3173,-0.0141,3020
86,-0.7327,1.2063,1649
97.8,-0.5698,1.3347,2320
89.2,-0.8695,0.9772,1608
98.1,-0.7325,1.2137,2311
88.5,-0.647,1.2467,1605
98.6,-0.6082,1.5675,2361
88.4,0.7213,-0.2296,2820
86,-0.6037,1.309,1578
98.3,-0.5552,1.3665,2384
91.4,-1.661,0.5119,1890
96.8,-0.3324,1.4011,2332
90.5,-0.8875,0.7344,1456
89.8,-1.0599,0.5944,1485
88.4,0.9089,-0.3298,2775
96.9,-0.2773,1.2864,2179
87.1,1.0369,-0.321,2898
98.5,-0.2604,1.3985,2317
90.1,-1.1264,0.4213,1510
97.6,-0.2641,1.1506,2423
88.7,0.7785,-0.2962,2903
86.8,0.8525,-0.4609,2838
97.5,-0.5509,1.5415,2361
88.7,-1.3203,0.6992,1515
96.5,-0.1889,1.3101,2228
97.9,-0.4301,1.3891,2338
89.2,0.8938,-0.1994,2868
86.7,0.8982,-0.3038,2743
95.8,-0.4146,1.2469,2204
96.4,-0.5995,1.3411,2163
86.7,0.8308,-0.4877,2796
87.6,0.9244,-0.3468,2935
97.9,-0.4704,1.2759,2333
97.7,-0.1712,1.3182,2286
97.6,-0.4223,1.5314,2313
96.5,-0.1594,1.3761,2358
89.1,0.9106,-0.0766,2775
96.4,-0.2864,1.2149,2340
88.8,-1.1305,0.8765,1645
87.8,0.8142,-0.2151,2747
87.4,0.7924,-0.1859,2820
95.7,-0.3851,1.5088,2234
96.4,-0.6396,1.5236,2293
88.4,0.8856,-0.5299,3004
96.5,-0.6527,1.2461,2370
95.7,-0.5841,1.3743,2242
95.1,-0.1811,1.463,2361
94.2,-0.4278,1.6086,2383
99,-0.4014,1.3474,2425
98.5,-0.4091,1.5491,2426
98.9,-0.6362,1.311,2505
89.8,-1.3126,0.6727,1629
98.5,-0.5911,1.4081,2480
89.5,0.8337,0.2394,2891
90,-1.2923,0.4537,1640
97.3,-0.2056,1.3862,2353
90.3,-1.0749,0.8611,1602
97.7,-0.4105,1.4534,2370
88.4,-1.1196,1.0537,1719
88.8,0.9269,-0.1591,NA
97.8,-0.5284,1.4336,2299
89.3,0.8604,-0.4258,2813
97.6,-0.5043,1.2929,2365
96.6,-0.3954,1.4113,2305
88.9,0.7195,-0.2537,NA
97.4,-0.6229,1.2739,2398
87.4,0.7121,-0.1413,2823
97.8,-0.5181,1.4365,2321
89.3,0.8,-0.0474,2928
89.3,0.8311,-0.3134,2927
88,0.639,-0.0639,2738
86.5,-0.8833,0.9994,1672
97.9,-0.7033,1.4107,2515
88.1,0.6687,-0.2227,2872
90.5,0.4671,0.0384,2729
87.5,0.772,-0.1359,2760
97.4,-0.5748,1.4648,2419
96.6,-0.6418,1.6142,2420
96,-0.3502,1.6116,2418
96.4,-0.5369,1.5492,2442
97.1,-0.4531,1.3549,2339
86.4,1.253,-0.1751,2869
97.2,-0.4485,1.2937,2526
96.9,-0.3924,1.4316,2506
97.5,-0.7809,1.3433,2388
96.1,-0.566,1.5794,2414
96,-0.587,1.4559,2316
95,-0.5564,1.4419,2453
85.7,1.084,-0.5006,2736
87.6,0.7813,-0.3107,2805
97.6,-0.1707,1.2527,2239
88.4,1.1356,-0.1705,2947
95.9,-0.3504,1.24,2167
86.4,1.1174,-0.5522,2876
86.7,0.7952,-0.1712,2768
97.3,-0.2262,1.1753,2239
98.2,-0.1258,1.2586,2214
88.9,-0.9377,0.7023,1542
98.2,0.041,1.2249,2261
87.4,-0.6751,0.9507,1559
89,-0.8823,0.7675,1478
98.1,-0.4348,1.1822,2227
98.5,-0.3567,1.2684,2357
98.3,-0.2345,1.1295,2326
97.6,-0.1464,1.2895,2261
97.3,-0.2624,1.097,2278
96.8,-0.4048,1.3795,2292
87.6,-0.5282,1.2075,3344
97.7,-0.151,1.2731,2319
97.5,-0.242,1.262,2317
98,-0.4509,1.3685,2280
86.6,1.1834,-0.3926,2824
88,1.1091,-0.6093,2979
97.4,-0.3259,1.2797,2264
98.7,-0.1301,1.2868,2215
87.9,0.7309,-0.2146,2760
98.5,-0.1395,1.3548,2291
89.9,-0.7692,0.9871,1499
89.6,0.7106,-0.084,NA
90.2,-1.0371,0.9285,1496
89.5,-1.1011,0.5619,1597
97.7,-0.1817,1.4016,2327
97.7,-0.3999,1.3149,2246
88.8,-1.3157,0.0248,2014
97.9,-0.1833,1.3846,2222
87.2,-1.0167,0.8572,1516
86.1,0.922,-0.3475,2887
87.1,0.845,-0.1397,2765
87.8,-0.7769,1.166,1572
98.3,-0.2718,1.3701,2271
87.5,-0.6336,0.9728,1693
98.6,-0.2883,1.1147,2343
98.4,-0.0961,1.3143,2338
97.8,-0.3405,1.2515,2300
90.6,-1.0116,1.066,1634
90.7,0.5909,0.0414,NA
97.8,-0.4557,1.4132,2234
88.7,0.8528,-0.2388,NA
99.5,-0.2759,1.3361,2294
98.3,-0.2009,1.2257,2206
87.6,0.8258,-0.2863,2680
98.4,-0.2364,1.2516,2280
89.2,0.617,-0.0037,NA
87.3,0.8452,-0.3638,2883
87,0.6534,-0.4229,NA
98,-0.2238,1.2933,2236
87,0.6444,-0.3266,2743
88.5,-0.7916,0.9186,1498
98.5,-0.0938,1.133,2226
86.6,0.6661,-0.2869,2757
96.7,-0.3856,1.3231,2095
96.8,-0.1631,1.3555,2230
97,-0.3495,1.1902,2302
NA,NA,NA,NA
88.2,0.9861,-0.141,NA
97.6,-0.4001,1.4307,2270
82,1.0285,-0.9101,2958
97.6,-0.3142,1.2469,2302
97.8,-0.4085,1.362,2279
91.5,-0.8268,0.8451,1599
96.9,-0.3201,1.4555,2244
90.7,0.4059,0.1736,2381
87.8,0.6007,-0.1968,2768
91.7,-1.2733,0.5683,1531
86.8,0.6668,-0.2701,2898
88.4,0.7162,-0.2956,2807
87,0.7183,-0.384,2797
90.8,0.303,0.746,2310
90.3,-1.2926,0.8275,1871
90,0.6119,-0.018,NA
96,-0.6726,1.3609,2301
86.1,0.9395,-0.6132,3060
86,0.7045,-0.4201,2867
95.8,-0.7368,1.4073,2419
97.4,-0.3222,1.3274,2404
93.9,-0.1469,1.4203,2326
95.9,-0.169,1.533,2304
90.4,-1.207,0.7697,1608
90.3,-1.079,1.0804,1606
96.8,-0.5273,1.3385,2246
87.7,0.5358,-0.2498,NA
85.5,0.9739,-0.4789,2916
85.4,1.2053,-0.6879,2988
86.7,0.7781,-0.3854,2777
98.4,-0.5801,1.2869,2241
90,-0.8135,1.0372,1700
95.6,-0.7443,1.5394,2287
95.2,-0.5828,1.453,2315
97,-0.5414,1.3326,2389
89.7,-1.1373,0.7887,1671
88.9,-0.9001,1.133,1654
95,-0.8432,1.5384,2312
95.4,-0.5311,1.4699,2305
95.4,-0.7812,1.4211,2335
96.4,-0.4049,1.4668,2360
88.9,-0.8489,1.4238,1600
95,-0.6142,1.577,2184
98.8,0.0186,1.5084,2469
99.6,-0.3072,1.2119,2304
88.3,1.1511,0.1419,2964
87.2,0.8637,-0.3183,2824
92.2,-0.8075,0.6762,1667
99.5,-0.4298,1.4051,2462
85.6,0.996,-0.7937,2900
85.7,1.0058,-0.6214,2938
99.2,-0.3577,1.2482,2350
88.3,1.1931,0.0519,2955
86.2,1.0675,0.0455,2848
97.8,-0.501,1.2721,2340
97.1,-0.3798,1.0403,2345
97.3,-0.33,1.086,2371
98.1,-0.5648,1.033,2205
89.3,-0.5731,0.9008,1555
97.8,-0.2894,1.3609,2381
98.3,-0.571,1.1034,2259
97.5,-0.2328,1.1083,2305
99.4,-0.2358,0.9943,2316
90.3,-0.7883,0.9322,1609
97.2,-0.5623,1.2854,2261
86.4,0.9597,-0.5849,2942
85.7,1.4429,-0.2118,3011
86,0.8665,-0.4037,2860
96.2,-0.2221,1.0931,2296
87.4,0.9943,-0.1281,3079
87.9,0.9603,-0.079,2965
98.1,-0.5515,1.3199,2404
91,-0.9509,0.8744,1623
99,-0.6744,1.3768,2393
90.4,-0.9109,0.7681,1600
86,0.9148,-0.3592,2978
90,-0.7514,0.8242,1602
84.9,0.9509,-0.4568,2918
86.5,1.1581,-0.1562,2949
98.3,-0.4563,1.1361,2417
91.7,-0.9609,0.5475,1642
87.4,1.1631,-0.3964,3084
98.1,-0.4673,1.1816,2461
98.2,-0.3031,1.1983,2467
89.7,-0.8631,0.5781,1516
87.4,0.8794,-0.3533,2987
87.8,0.7723,-0.1877,NA
87.7,0.9308,-0.2133,2929
97.7,-0.0734,1.2111,2285
97,-0.2886,1.2817,2260
89.4,-0.7701,0.8476,1576
85.8,0.9093,-0.2989,3091
87.7,0.6032,-0.076,NA
97.6,-0.3138,1.0498,2287
90.2,-0.8107,0.8607,1640
98,-0.3355,1.1353,2395
88.2,0.8893,-0.565,2944
87.3,0.8109,-0.3529,2876
98.5,-0.1076,1.2104,2270
98.4,-0.1116,1.1162,2299
88.9,-0.8284,0.9734,1602
88.6,0.8855,-0.1658,2820
88.2,-1.1638,0.6703,1654
89.2,0.7538,-0.2529,NA
99,-0.5279,1.2329,2440
89.6,0.8095,-0.1989,2892
98.6,-0.3997,1.3098,2342
89.7,-0.9585,0.7943,1550
98.3,-0.3479,1.3119,2308
90.7,-1.0578,0.6174,1642
97.4,-0.0442,1.218,2356
89.3,0.728,-0.3828,2991
90.5,-0.8594,0.5043,1675
98.6,-0.2443,1.1863,2345
89.7,0.8493,-0.2146,2910
90.6,-0.6193,0.9115,1711
98.7,-0.3288,1.3933,2344
87.7,1.0116,-0.285,3005
96.8,-0.013,1.0262,2200
96.6,-0.2579,1.2945,2339
97.6,-0.0881,1.1948,2367
89.8,0.7107,-0.219,2801
88.2,0.814,-0.4249,3095
91.3,-0.7938,0.6502,1603
98.3,-0.5406,1.3998,2357
96.4,-0.7559,1.415,2329
89.5,-0.971,0.8667,1599
87.2,0.6598,-0.4934,2938
87.4,0.5946,-0.5642,2823
97.7,-0.4732,1.4023,2274
88.3,-1.2823,0.6331,1430
